"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00360W",209.99153139203,-0.951818817422677,0.979752768201648,-0.97148877585695,0.331304939748725,0.537441543346809
"C1_00370W",178.717442450433,-0.198917754512097,0.966281833585683,-0.205858940526649,0.836901099170079,0.921395921682443
"C1_00380C",1499.41723636383,-0.0656194061181198,0.27518968290815,-0.23845154885411,0.811530889989211,0.908680610715589
"C1_00390W",926.538910158439,-0.555226584289154,0.412427848583487,-1.34623931481863,0.17822534976761,0.354387309089286
"C1_00400W",5044.34662053271,-1.36012712194615,0.146863660688484,-9.26115497577815,2.02232642105104e-20,8.96347258878753e-19
"C1_00410C",1176.73925726171,-0.798312052372117,0.279561000707576,-2.85559162526808,0.0042956726180359,0.0189478464757025
"C1_00420W",2215.92796823678,0.880320916170912,0.392363068255873,2.24363857710692,0.0248556650596087,0.0810241608348811
"C1_00430W",711.21916422129,-0.322474356681982,0.312667108302281,-1.0313664217287,0.302369020973476,0.506035365185818
"C1_00440W",130.871631594075,0.155989544241972,0.442231887442589,0.35273246609161,0.724289017427198,0.858648067251916
"C1_00450C",1381.9137728747,-0.330912297171638,0.335464577674346,-0.986429921948041,0.323922187915158,0.529683421392744
"C1_00460W",848.973817000888,0.10554645168434,0.300062777492265,0.351747899444345,0.725027334692606,0.858967499778091
"C1_00470C",1098.23579332126,-0.026231111908317,0.311380871342915,-0.0842412438348837,0.932864626873496,0.968459385964626
"C1_00480C",2037.16084530594,0.330360161761157,0.231184781901933,1.42898749235706,0.153007828410816,0.319138908897854
"C1_00490C",4105.77373152928,0.4584252471934,0.300887395051422,1.52357744037451,0.12761430219673,0.279207087927241
"C1_00500C",4923.76261496748,-0.0695099348650651,0.158798833935134,-0.437723207044824,0.66158694445063,0.815630741745326
"C1_00510W",1060.95214970357,0.0431249732053341,0.283217240686012,0.152268177957233,0.878975422530692,0.94331819763044
"C1_00520W",402.73396455201,-0.383711602236554,0.77970851302099,-0.492121858141395,0.622633200924301,0.788772924643213
"C1_00530C",1553.45084743297,0.192778629437727,0.353907406575438,0.544714876987563,0.585949631301312,0.759702565140838
"C1_00540C",850.415494728504,0.176354634343752,0.245893102711269,0.717200411069806,0.473250445681793,0.671303338935503
"C1_00550W",526.321786226439,-0.252258075003997,0.34874814398311,-0.723324494642223,0.469480547403287,0.669676898138715
"C1_00560W",713.683246589268,0.635774007332823,0.355540061569996,1.78819231938412,0.0737449850356959,0.186689285009758
"C1_00570C",1135.18412301836,0.188538011085027,0.549801247558672,0.34292030424123,NA,NA
"C1_00580W",584.064169577916,-0.0315129658154683,0.468355749008022,-0.0672842510895037,0.946355414284765,0.976378704131607
"C1_00590W",10192.0935015491,0.170979741849583,0.158543458507101,1.07844084807778,0.280837066046684,0.481134823875491
"C1_00600W",1728.61058231428,-0.529775341663132,0.253038499779966,-2.09365508459704,0.0362907167526199,0.109093153890912
