,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C1_09790C,484.477960896536,0.658393263191604,0.772206497160684,0.85261295471152,0.393873976124308,0.93840371329504
C1_09800C,756.012745345195,0.0957933711882516,0.452943065590717,0.21149097638424,0.832504172777434,0.98500176332178
C1_09810W,452.277520827843,0.394061062428093,0.573946545934286,0.686581468639435,0.492346509556059,0.9544445184834
C1_09830W,1924.8938527142,0.647949935492448,0.388493049733879,1.66785463970668,0.0953445861123087,0.848346548378826
C1_09840C,629.7522566504,-0.163933644211703,0.40725593175931,-0.402532244290523,0.687292363109666,0.983650165304635
C1_09850C,1831.79525444453,0.16252049145392,0.502337283368132,0.323528626751002,0.746294931227301,0.98500176332178
C1_09860C,714.986806985909,0.639210137998057,0.604636452021086,1.0571809487526,0.290429012812923,0.913703879686606
C1_09870W,344.774324988026,0.75664841799781,0.697221576002953,1.08523379660099,0.277818119118857,0.913703879686606
C1_09880C,196.110448666271,-0.167653753261949,0.888826403874658,-0.188623731845833,0.850387731367466,0.98500176332178
C1_09910C,277.829643472761,-0.068263229757876,0.795018399955451,-0.0858637105275817,0.931574759737741,0.994042692065011
C1_09920W,1142.824395521,1.73404934358612,0.880860953164919,1.96858464137354,0.049000807683144,0.792790723653201
C1_09930W,94.0224870964127,-0.834021015864708,1.35579854263644,-0.615151137604043,0.538454913220619,0.954830933037319
C1_09940W,203.644230879104,0.186540742921538,0.923396008929027,0.20201597268965,0.839904237214548,0.98500176332178
C1_09950C,358.790080496905,1.12504222597028,1.10085686474209,1.02196957842822,0.306795299055191,0.913703879686606
C1_09960W,119.973703307448,1.13351277751637,1.06630253076457,1.06303112373147,0.287767837182162,0.913703879686606
C1_09970C,531.845665620757,0.643590122318104,0.624425540138237,1.03069154118139,0.302685492722339,0.913703879686606
C1_09980C,1457.85331827066,0.109425741565928,0.489898708689658,0.223364013060193,0.823252210220777,0.98500176332178
C1_09990W,2043.59751457094,-0.321365653565841,0.366807363603697,-0.876115600321067,0.380967192713528,0.929883208224943
C1_10000C,633.504719003935,-0.630712447778994,0.645639302448425,-0.97688050493081,0.328628314259731,0.91822343689984
C1_10010C,1460.27190647267,0.305750999329894,0.376043765108319,0.813072912515443,0.416176255722049,0.944789224034517
C1_10020W,460.652941543723,0.399391031793864,0.772695940167643,0.516879940778792,0.605239971168756,0.959417242250867
C1_10030W,853.97223949665,0.25026800528684,0.468027816928717,0.53472891190345,0.592837326097448,0.958588580221295
C1_10040W,7182.29167260121,0.554455771518495,1.01460553222335,0.546474224621556,0.584740000817517,0.958588580221295
C1_10060C,245.770050672256,2.2814443616266,1.02810722010282,2.21907240511201,0.0264817990391151,0.739843836367403
C1_10070C,1009.2939647915,-1.33416988644491,0.620710899041477,-2.14942236152962,0.031600934414942,0.773502468007451
C1_10080W,193.917994034543,-0.624944702628912,0.903147847458029,-0.69196278813913,0.488960698147375,0.954416016412458
C1_10090C,2154.51659515983,-0.0514047938468278,0.377118736992068,-0.136309307399672,0.891576766320403,0.991464702606252
C1_10100C,2296.37647092489,0.297980638082577,0.435501939105416,0.684223447304673,0.493834078356421,0.9544445184834
C1_10110W,181.112414475457,1.06552792999703,1.21023216255855,0.880432666526063,0.378624966628769,0.929650441287216
C1_10120C,875.503403301778,0.367571205074899,0.658764669065703,0.55797042910059,0.576864576960959,0.958588580221295
C1_10140C,883.936432599116,1.54813234982247,0.649708341577435,2.38281125660745,0.0171810007191072,0.695848153104463
C1_10160W,6485.75747943956,-0.231783752282631,0.356652374514006,-0.649887029627862,0.515765196906181,0.9544445184834
C1_10180C,1700.49417126991,1.70966603777377,1.24638852574139,1.37169590578251,0.170158123498123,0.885527373945066
C1_10190W,751.415382029614,0.261366647372531,0.519266972132825,0.503337707574583,0.614726859559146,0.961559077720175
C1_10200C,354.0274746307,-0.833422342527666,0.710357155381957,-1.17324410152459,0.240697931276523,0.913703879686606
C1_10210C,1346.52985728028,0.292241338570002,0.69275388080336,0.421854495035237,0.673131226311148,0.983525122612939
