Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4
C3_06240C,450,414,467,242,268,446,494,741
C3_06250W,2189,3006,2943,1633,1889,2356,1765,2404
C3_06260C,683,1158,1067,826,589,786,818,2288
C3_06270C,280,394,658,452,639,669,574,617
C3_06280W,1570,1715,1736,1248,1191,1965,2161,3784
C3_06290W,1621,1962,2060,1766,1133,1098,800,1223
C3_06300W,1859,2637,2838,1590,1925,2898,2567,3377
C3_06310C,1614,1883,2411,1245,1229,2006,2109,1449
C3_06320W,731,737,620,671,544,483,496,181
C3_06330W,0,2,54,1,0,2,0,102
C3_06340W,80,10,55,20,22,17,20,1
C3_06350W,4,23,6,19,12,58,69,0
C3_06360C,4184,4480,3609,3717,2694,4182,3316,4375
C3_06370C,748,444,510,339,479,497,582,68
C3_06380W,0,0,0,0,0,0,0,1
C3_06390W,0,0,0,0,0,0,0,0
C3_06400C,382,653,520,383,293,728,523,946
C3_06410C,564,727,889,410,309,664,559,1123
C3_06420C,487,898,780,367,687,1053,1051,1260
C3_06430W,5,34,0,27,15,20,19,0
C3_06440W,4775,7305,4633,3831,2314,4256,2236,2391
C3_06450W,745,986,770,569,147,29,4,45
C3_06470W,1286,1158,698,977,745,750,432,905
C3_06480C,1269,1417,1499,1078,964,1191,1111,2164
C3_06490W,1447,954,813,1062,820,971,643,427
C3_06500W,11267,15939,14862,11993,9161,14212,11165,10192
C3_06510C,122,304,259,248,183,322,267,1219
C3_06520C,141,262,363,254,280,242,195,88
C3_06530W,141,224,175,203,200,214,137,12
C3_06540C,117,275,402,288,237,312,288,546
C3_06550C,317,325,334,252,396,367,228,289
C3_06560W,1278,1139,1437,1262,1128,933,705,786
C3_06570C,549,1281,1742,1264,1301,1828,1407,2597
C3_06580W,46,19,26,12,6,21,0,0
C3_06590W,4925,9967,9646,7410,5090,12528,8326,2243
C3_06600C,583,1219,1178,837,503,849,447,2028
C3_06610W,257,547,518,249,404,486,214,8
C3_06620W,2251,3008,2609,2088,966,1767,1587,2974
C3_06630W,376,419,455,124,180,385,261,11
C3_06640W,341,307,249,146,228,162,109,0
C3_06650C,818,1163,1569,818,1049,1583,1312,302
C3_06660C,32,12,8,12,21,4,0,0
C3_06670C,470,750,779,459,199,399,219,101
C3_06680C,354,388,382,257,46,174,53,382
C3_06690C,388,495,383,427,324,373,293,375
C3_06700C,3360,5601,6098,4787,4087,6058,5307,7334
C3_06710W,2747,3633,2871,2090,2071,2539,2280,1239
C3_06720W,1020,1020,780,715,402,854,343,627
C3_06730W,302,789,688,528,327,233,242,0
C3_06740W,516,1118,1414,433,478,1044,926,26
C3_06750W,694,1311,1341,902,1908,2413,2090,3836
C3_06760W,143,168,336,153,500,344,578,487
C3_06770W,168,251,218,170,186,296,260,47
C3_06780C,136,207,125,98,155,162,43,217
C3_06790W,39,49,112,61,218,51,167,0
C3_06800C,325,575,583,370,564,699,544,619
C3_06810W,471,838,1199,605,467,890,543,765
C3_06820C,787,1078,947,761,800,981,532,425
C3_06830C,1294,2019,2209,1118,1546,2010,1984,1328
C3_06850W,1314,3193,2427,2188,2915,5872,4442,6317
C3_06860C,3516,3936,5256,4571,1113,1990,2262,3522
C3_06870W,229915,252041,225459,243583,370264,516755,423274,649822
C3_06880W,3958,14962,18030,11873,19488,59806,46387,54437
C3_06890W,5422,8368,8819,4686,5877,8900,7730,6285
C3_06900W,214,413,381,303,254,317,314,46
C3_06910C,2782,4172,4353,3022,2942,4082,4218,6674
C3_06920W,890,1389,1697,1092,1532,2620,2333,1991
C3_06940W,8,108,87,107,126,262,288,2
C3_06950W,714,1409,1401,542,800,1580,1845,153
C3_06970W,988,1907,2648,1337,1483,2239,2784,4000
C3_06980W,136,219,388,79,202,481,397,529
C3_06990W,178,420,733,391,495,486,672,9
C3_07000W,1673,1708,2182,1255,1199,1695,1180,3263
C3_07010W,2373,2083,2725,2359,898,1366,1214,2177
C3_07020W,5380,7623,6253,4527,4024,7106,5972,11215
C3_07030C,867,1321,1073,1310,555,953,658,1413
C3_07040C,520,824,672,506,571,674,768,35
C3_07050W,414,561,641,308,482,418,426,759
C3_07060W,3037,4798,4515,3912,1897,1946,2023,1397
C3_07070C,665,1091,1138,1037,294,318,230,1196
C3_07080W,326,521,581,458,484,359,352,892
C3_07090W,3914,6211,7199,5754,3078,4248,3641,4546
C3_07100C,2184,2513,1744,1743,728,841,478,809
C3_07110W,443,757,806,468,455,615,480,3
C3_07120W,106,162,216,119,175,136,23,2
C3_07130W,150,209,390,145,299,508,456,592
C3_07140C,636,1245,1298,684,1144,2043,1763,1972
C3_07150C,3942,7260,8621,5681,17497,28516,32805,33944
C3_07160W,18,78,115,84,243,267,300,140
C3_07170C,925,2133,2374,1460,1234,2608,2599,2057
C3_07180C,440,882,1190,610,1953,3300,2881,2930
C3_07200C,146,313,185,183,280,233,139,250
C3_07210W,365,843,1051,627,868,1162,1200,698
C3_07220C,588,1429,1415,819,1081,1766,1550,773
C3_07230W,2910,4500,4208,2548,1640,2209,1827,4383
C3_07240W,36,67,17,22,0,4,0,0
C3_07250W,1424,2036,2121,1743,1198,1680,1191,1235
C3_07260C,6299,8010,6477,6322,3508,4462,3342,6985
C3_07270C,4685,7097,7321,4741,3964,6332,5213,5706
C3_07280C,1189,1019,797,913,1503,1824,1299,4716
C3_07290W,1518,1689,1829,1706,875,1358,939,1746
C3_07300W,233,500,456,317,420,683,684,855
C3_07310C,21932,22008,20204,24587,17449,28016,18788,28384
C3_07320W,2686,3301,3152,2458,2277,2354,2180,3806
C3_07330W,742,1144,1073,846,376,352,192,108
C3_07340W,2713,3956,4187,3250,1353,3191,2003,6525
C3_07350W,526,700,468,441,495,714,598,184
C3_07360W,816,1037,1352,830,1036,1000,924,2414
C3_07370W,310,458,521,541,339,422,306,1973
C3_07380W,194,141,201,56,79,76,146,1
C3_07390C,1105,1418,1452,897,581,1542,1789,631
C3_07400W,307,449,286,211,482,538,482,360
C3_07410C,5652,8225,9175,6221,11800,15090,15150,14563
C3_07420W,2297,2639,2829,1386,3486,3430,3713,3398
C3_07430W,47,114,122,90,147,159,111,1
C3_07440W,36994,37882,36560,41621,61503,77167,76849,71970
C3_07450C,843,1851,2394,2164,2790,7257,10074,17181
C3_07460W,867,944,901,587,845,1047,750,730
C3_07470W,204,314,330,389,356,342,676,323
C3_07480W,884,874,987,665,889,952,962,753
C3_07490W,2205,2472,2240,1927,1296,2262,1577,2558
C3_07500W,11,87,39,33,112,199,191,0
C3_07540C,485,734,374,214,454,508,383,169
C3_07550C,844,884,960,886,1103,809,767,335
C3_07560W,1938,1963,1362,1469,1678,1981,2119,4223
C3_07570C,154,275,228,325,156,257,273,400
C3_07580W,278,385,390,448,218,252,254,398
C3_07590W,124,414,233,344,217,226,143,399
C3_07600W,175,292,304,151,233,594,264,1009
C3_07610W,5360,6411,5867,5611,2560,4208,3286,4663
C3_07620C,278,377,259,424,240,320,153,312
C3_07630C,1053,973,1024,741,546,615,430,118
C3_07640C,9764,12309,10979,7434,2422,2452,2340,1509
C3_07650C,239,483,431,271,353,450,452,77
C3_07660W,738,938,743,661,308,853,525,34
C3_07670W,386,696,369,511,1153,1288,756,5104
C3_07690C,641,727,863,639,522,861,1051,673
C3_07700W,444,640,462,561,708,1175,1077,374
C3_07710W,849,881,1043,946,545,788,608,1916
C3_07720C,0,2,0,0,0,0,1,0
C3_07730W,1221,1274,1134,1236,1177,816,795,870
C3_07740W,1868,2131,2083,2117,1555,1650,1189,412
C3_07750W,1002,1669,1687,1019,1236,1846,1465,20
C3_07760C,789,786,460,670,248,274,223,253
C3_07770C,664,511,697,440,331,373,476,1119
C3_07780C,4282,3891,4089,4443,2825,3267,2978,4852
C3_07790W,696,738,736,1108,997,623,799,287
C3_07800C,216,325,257,312,187,439,382,0
C3_07810C,5145,7410,5875,3485,4856,8382,6663,9195
C3_07820W,300,441,196,366,784,735,592,0
C3_07830W,570,475,533,676,291,246,245,7
C3_07840C,0,0,0,0,0,0,0,0
C3_07850W,834,599,530,488,720,407,503,898
C3_07860C,252,509,452,351,205,286,168,372
C3_07870W,0,0,0,0,0,0,0,0
C3_07880C,91,72,132,113,89,223,65,132
C3_07890W,450,485,844,388,784,1194,1064,2005
C3_07900C,89,245,238,144,44,180,79,1
C3_07910W,0,3,0,0,0,5,0,0
C3_07920W,0,0,0,0,0,0,0,0
C3_07930C,65,176,71,55,73,167,66,1
C3_07940W,691,798,564,928,710,963,609,1362
C3_07950C,14407,13996,13603,12930,12477,20389,20029,29762
C3_07970C,1,0,24,0,15,1,1,0
C3_07980C,1,72,1,14,18,16,65,0
C4_00010W,95,71,17,18,15,67,1,0
C4_00020W,4577,4730,4709,4840,2901,4036,3539,3415
C4_00030C,231,561,213,179,264,290,53,0
C4_00040W,2212,2274,1540,1396,1204,1698,1433,1062
C4_00050W,1155,1255,1570,1108,569,679,638,1255
C4_00060W,436,386,279,288,199,370,304,1
C4_00070C,4547,4948,2861,2395,1172,1920,989,2058
C4_00080C,242,228,234,190,74,75,0,1
C4_00090W,7,10,0,0,0,0,0,0
C4_00100C,755,1202,1147,762,598,562,304,844
C4_00110C,2517,3281,2225,2753,309,650,288,1167
C4_00120W,2159,3141,2546,2871,397,1162,662,1904
C4_00130W,7243,9452,7696,9080,7044,8160,3445,21632
C4_00140C,2895,3544,2711,2503,5296,7262,7430,7797
C4_00150C,3168,2764,2517,2662,1158,1202,743,2144
C4_00160C,4582,5119,4980,3266,5694,7360,5253,8165
C4_00170W,4288,4483,4869,3859,3501,3922,3110,4425
C4_00180W,1283,1485,1474,1145,705,986,971,2403
C4_00190W,640,965,900,764,460,717,877,555
C4_00200C,12209,15434,15480,10215,7845,8479,6996,14641
C4_00210W,223,362,248,118,324,273,315,0
C4_00220C,4191,5590,6582,4882,6685,9647,9623,10531
C4_00230W,1162,1290,1639,907,1985,1863,2335,1886
C4_00240C,559,601,629,472,793,960,497,696
C4_00250W,0,0,0,0,0,0,0,0
C4_00260W,2097,1819,1691,2028,1530,2076,1499,2489
C4_00270W,8440,10129,11847,10640,3727,4661,5159,4283
C4_00280W,20,160,342,384,33,333,526,13
C4_00290C,180,432,424,312,426,398,290,1303
C4_00300C,1465,2102,2187,1257,1273,1620,1054,2639
C4_00310C,844,1190,879,847,1088,1563,1417,666
C4_00320C,471,629,680,737,345,362,331,1609
C4_00330C,3251,4150,4824,3967,2586,2737,2892,4460
C4_00340W,2405,2278,2577,2177,1142,1442,995,2224
C4_00350W,1030,729,797,705,292,426,266,411
C4_00360C,291,352,413,287,522,661,629,290
C4_00370W,725,624,1037,673,1087,1109,1180,1056
C4_00380W,709,987,606,618,676,1023,867,968
C4_00390W,708,798,842,694,397,1101,478,139
C4_00400W,1564,1636,1364,1002,995,1819,1287,516
C4_00410W,1246,1642,1753,896,689,838,423,243
C4_00420C,4291,5409,4022,4085,4231,6117,4675,5658
C4_00430W,631,732,461,616,317,420,435,794
C4_00440C,457,739,431,429,3378,4530,3235,7015
C4_00450C,13836,15021,14675,20263,2896,5680,4978,9934
C4_00460C,1917,2161,1855,1540,1080,1702,1139,2886
C4_00470C,688,1057,849,739,581,771,670,20
C4_00480W,205,329,227,245,91,188,149,0
C4_00490W,130,95,31,91,49,29,180,10
C4_00500W,3038,3924,4473,3419,1386,1884,1839,2199
C4_00510C,299,464,647,292,903,879,1102,793
C4_00520W,440,511,835,353,405,621,561,220
C4_00530C,3,40,37,15,6,10,0,0
C4_00540C,1686,3114,3171,2026,1508,2837,2539,942
C4_00560C,1226,1122,1399,1333,674,809,874,1039
C4_00570C,2271,2886,3007,2597,1754,2531,3121,2978
C4_00580W,192,195,307,210,229,260,265,207
C4_00590C,2640,3538,2694,2427,2415,2494,2175,2959
C4_00600C,3410,5074,3345,3467,1019,1066,938,3084
C4_00610W,7,32,72,39,33,38,37,1
C4_00620C,426,652,1100,392,739,743,551,1128
C4_00630C,894,1056,1120,723,1135,1460,1188,712
C4_00640W,17,3,1,1,13,0,0,0
C4_00650W,514,852,862,456,1108,1657,1457,1362
C4_00660W,1399,1315,2046,954,1284,1783,1434,1636
C4_00670W,1054,1161,1039,1049,330,505,623,508
C4_00680W,790,825,764,834,442,592,513,1102
C4_00690C,44,57,102,79,46,109,153,417
C4_00700C,240,572,433,360,432,507,440,2112
C4_00710W,737,880,803,483,1028,871,775,989
C4_00720W,34,99,230,83,48,104,46,0
C4_00730C,105,66,49,8,55,57,16,228
C4_00740W,141,185,134,159,107,247,130,1
C4_00750C,304,262,388,250,204,203,269,1
C4_00760W,1325,1549,891,937,598,356,465,308
C4_00770C,744,1541,2361,1316,1634,2171,1849,2268
C4_00780C,2064,3226,4196,2705,2445,3010,2846,2250
C4_00790C,268,359,254,111,316,306,237,1362
C4_00800W,167,251,307,78,86,249,210,337
C4_00810C,138,270,403,143,71,161,207,1
C4_00820W,543,782,832,407,523,634,703,200
C4_00830W,720,1066,991,842,389,565,714,152
C4_00840W,5346,4264,4137,4240,1099,1210,1037,1939
C4_00850C,136,88,60,121,46,24,42,1
C4_00860C,6407,5018,5605,5358,885,463,395,956
C4_00880W,1342,1662,1377,997,610,1272,1103,2297
C4_00890W,9484,12790,11090,8669,9181,15679,13186,17470
C4_00910C,346,719,745,269,283,661,321,49
C4_00920C,171,277,387,73,118,191,149,669
C4_00940W,113,237,187,137,201,382,169,19
C4_00950C,625,1055,864,1080,530,694,768,234
C4_00960W,810,1203,1207,973,800,1294,1239,135
C4_00970C,12119,16479,17201,13876,10627,13391,11950,10559
C4_00980C,259,397,175,235,35,36,44,1
C4_00990W,3898,10232,4947,4474,404,638,247,1484
C4_01000C,419,867,563,568,82,188,93,105
C4_01010C,2576,6744,5872,3017,321,879,881,949
C4_01020C,4608,7509,6878,5486,4095,5425,4097,6482
C4_01030W,0,0,0,0,0,18,0,1
C4_01050C,9259,12621,13467,8967,21949,29767,30418,30777
C4_01060W,7259,10451,11434,10185,8270,11108,10747,10257
C4_01070W,108,70,92,146,90,23,0,8
C4_01080W,2143,2008,2512,2174,1761,2197,1630,1609
C4_01090C,189,403,328,313,239,175,91,0
C4_01100C,1584,1131,1270,1912,1771,1429,1236,2054
C4_01120C,131,447,375,261,121,286,158,0
C4_01130C,93,383,282,215,197,289,279,273
C4_01140C,294,546,709,273,223,503,257,10
C4_01150W,526,672,682,314,487,643,409,220
C4_01160W,1715,2197,1880,1223,652,737,1259,15
C4_01170C,328,564,647,524,102,115,78,4
C4_01180W,2,30,27,8,9,0,10,0
C4_01190W,3647,4012,3662,3882,958,1342,1052,2186
C4_01200C,167,382,503,261,2433,3354,4017,2649
C4_01220C,178,115,194,97,18,79,73,0
C4_01230C,158,283,300,92,151,211,188,6
C4_01240C,58,92,40,85,104,202,112,276
C4_01250W,148,262,485,121,168,588,392,1328
C4_01260W,573,709,524,226,327,384,433,2
C4_01270W,2162,1626,2026,556,3153,3312,2539,879
C4_01280C,1912,3661,4264,3001,5134,6841,6771,4206
C4_01290W,2809,2934,3391,3366,1094,1268,923,2081
C4_01300W,3600,3485,3982,4672,1899,1208,1373,4899
C4_01310W,229,370,356,221,257,395,471,11
C4_01320C,161,365,537,246,270,317,221,431
C4_01330W,0,1,1,6,0,0,0,6
C4_01340W,0,0,0,2,3,12,0,0
C4_01350W,0,0,0,0,0,0,0,0
C4_01360W,1011,1783,1383,979,1790,2491,2887,3565
C4_01370W,1748,2813,3388,2006,4456,6517,5357,4262
C4_01380W,1154,1876,1292,833,1101,1514,1616,661
C4_01390W,1,8,0,9,0,11,1,0
C4_01400W,183,176,182,88,263,210,25,24
C4_01410W,1162,2320,2462,1625,1010,1467,1357,1930
C4_01420W,2644,3701,3235,2058,934,1535,1338,1611
C4_01430C,525,749,1143,684,632,904,1085,461
C4_01440W,1348,1790,2165,1621,1894,2126,2524,1510
C4_01450W,1216,1581,1710,1061,1459,1753,1903,1273
C4_01460C,458,825,947,498,505,849,620,728
C4_01470W,141,315,281,225,117,322,221,19
C4_01480C,21,13,0,17,0,0,7,1
C4_01490W,4192,7272,8872,4988,7655,11099,10341,7699
C4_01500W,656,905,966,604,950,1205,1305,905
C4_01510W,1658,2711,3187,2375,1312,2144,1690,1679
C4_01520C,8084,12137,18840,12761,26994,37195,46076,40003
C4_01530C,19009,36179,39006,30333,5367,7336,6575,10077
C4_01550C,901,1926,1786,1144,143,260,76,672
C4_01560C,318,1048,994,551,615,607,514,700
C4_01650C,604,758,770,425,267,516,621,725
C4_01660W,1112,2150,2445,1337,1576,2441,2329,661
C4_01670C,288,775,981,530,635,646,703,1829
C4_01680W,269,529,579,398,545,471,431,517
C4_01690C,2476,3733,4399,3024,3252,5124,4446,7380
C4_01700C,4378,7819,11034,7705,12871,21226,23133,23619
C4_01710C,5323,5834,3708,3365,5315,5349,4372,5672
C4_01720C,5537,7710,8818,5751,5724,9164,8941,7568
C4_01730C,1156,1381,1959,901,1523,1476,1594,2759
C4_01740W,80,189,141,113,192,378,611,239
C4_01750C,76054,77749,79120,88171,184080,255083,244590,300984
C4_01760W,328,521,582,588,342,607,676,169
C4_01770W,722,907,1270,889,1769,3886,2767,3227
C4_01780C,435,797,948,597,634,1033,966,1152
C4_01790W,1231,1778,2254,1873,770,848,941,2396
C4_01800W,35,53,1,72,113,141,123,384
C4_01820C,1598,1665,1747,1451,741,909,883,969
C4_01830C,972,1941,1542,1421,1159,1410,1117,1589
C4_01840C,4335,5531,5365,5035,1757,2846,2628,3329
C4_01850C,261,189,244,296,107,39,0,20
C4_01860C,259,298,392,483,98,52,80,1
C4_01870C,851,1341,1902,982,804,1356,1312,827
C4_01880W,1088,1246,1486,1004,602,1276,753,458
C4_01890C,571,807,1044,333,452,884,779,611
C4_01900C,11475,20678,17022,10709,7231,11582,8108,6275
C4_01910W,489,547,761,459,217,222,249,673
C4_01920W,636,1203,1123,591,815,905,1050,694
C4_01930C,435,582,1064,585,471,499,451,1381
C4_01940W,56,92,63,61,136,18,2,68
C4_01950W,1536,2075,1667,1782,1094,1365,1108,1577
C4_01960C,767,1010,863,724,618,573,500,732
C4_01970W,661,879,898,1228,696,837,566,836
C4_01980C,2052,2907,2926,2744,2290,3441,2666,2523
C4_01990W,50,84,41,54,95,160,160,1
C4_02000C,8379,9739,9608,8948,1992,3055,2497,2981
C4_02010C,695,1271,1243,712,356,574,415,684
C4_02020W,12775,21030,26448,13340,2896,2972,2640,5859
C4_02030W,1021,1477,1446,838,218,232,196,763
C4_02040W,583,804,1076,480,376,236,236,10
C4_02050W,380,892,792,532,948,1167,1279,407
C4_02060C,4172,3756,3530,3337,2367,3322,2597,5986
C4_02070W,290,493,553,350,356,252,160,9
C4_02080W,86,110,131,65,189,95,118,0
C4_02090C,575,644,1026,433,515,541,512,1
C4_02100C,282,471,459,407,656,721,595,566
C4_02110W,443,599,389,512,640,853,746,1935
C4_02120W,1082,2156,1935,1014,1377,2089,1484,1807
C4_02130W,241,365,434,271,224,396,236,0
C4_02140C,681,1279,1461,1164,944,1609,1573,2428
C4_02150C,139,190,209,187,65,80,98,340
C4_02160C,17,116,2,52,42,62,31,0
C4_02170C,388,618,788,363,334,318,277,706
C4_02180C,124,303,286,262,78,42,93,3
C4_02190C,29,59,33,30,10,17,0,1
C4_02200C,316,339,201,197,76,98,21,0
C4_02210W,16,34,55,44,7,10,23,16
C4_02220C,36,111,64,84,16,39,7,2
C4_02230C,7,11,0,10,0,5,0,0
C4_02240C,0,7,88,7,2,5,16,0
C4_02250C,15364,29247,25715,21724,6216,9879,10170,10686
C4_02260C,332,442,684,275,220,520,415,1
C4_02270C,5879,9504,10023,6423,6262,9748,9418,12062
C4_02280W,2391,3560,3833,2149,2105,2547,2228,1051
C4_02290W,2105,2194,2653,1930,1357,2698,2333,4078
C4_02300W,3046,4701,4990,3682,1102,1431,1195,1264
C4_02310W,1921,2896,2807,1930,1753,2119,1962,2866
C4_02320C,9805,21981,15479,13678,8549,14194,10793,14997
C4_02330C,211,435,406,425,401,262,263,474
C4_02340W,3051,5362,4366,3637,1515,2740,1666,2191
C4_02360W,16851,27061,24230,26793,1946,4554,1709,6294
C4_02370C,78424,99309,81488,94079,99706,116705,115168,173710
C4_02380W,1,10,0,5,55,0,0,3
C4_02390W,54081,87039,45585,50144,29920,39241,31451,52852
C4_02400C,341,725,897,383,1131,1080,1228,764
C4_02410C,16239,29985,30269,22588,16735,33569,22480,31807
C4_02420C,227,481,489,168,320,440,271,155
C4_02430W,1565,2648,3440,1709,1512,2416,2159,1935
C4_02440C,2130,2779,3164,4022,4701,5963,5517,5771
C4_02450W,339,438,674,507,532,467,705,44
C4_02460W,397,873,1029,595,643,694,1052,1356
C4_02470C,2824,3768,4153,2956,2639,3471,3764,3340
C4_02480C,229,389,587,283,214,378,532,164
C4_02490W,1036,1251,1325,1132,549,667,298,2487
C4_02500C,2275,3084,3312,2552,901,1252,1449,1922
C4_02510W,229,478,462,424,481,684,669,324
C4_02520C,213,403,412,314,417,527,560,558
C4_02530W,889,1016,1206,881,542,604,567,1938
C4_02540W,1521,2186,1658,2552,424,443,465,516
C4_02550C,2139,4835,5310,2679,3257,5909,4723,5546
C4_02560C,19,52,110,90,117,119,72,392
C4_02570C,432,348,297,406,271,240,481,394
C4_02580W,136,113,112,101,88,101,187,25
C4_02590C,439,633,552,369,363,553,438,1602
C4_02600C,269,544,708,195,212,490,336,298
C4_02610C,802,1774,1286,499,984,701,528,1194
C4_02620C,6629,7368,5731,6809,3860,5073,3238,8738
C4_02630C,423,898,914,531,579,553,763,373
C4_02640C,479,560,503,237,376,716,507,262
C4_02660W,119,97,199,192,85,17,27,87
C4_02670W,425,532,736,559,422,454,408,282
C4_02680C,0,26,37,26,26,28,0,936
C4_02690W,174,105,149,137,37,28,84,72
C4_02700W,400,653,382,540,424,534,499,803
C4_02710C,1163,1566,1499,1149,2258,2179,1944,3601
C4_02720C,1299,1794,1553,1437,573,477,536,689
C4_02730C,9,1,1,1,19,0,0,0
C4_02740W,4101,5960,3912,4892,854,1155,664,1004
C4_02750W,44,67,29,61,44,40,55,11
C4_02760C,583,1231,1305,862,408,829,609,243
C4_02770C,318,474,519,327,418,474,510,484
C4_02780W,2568,3796,3847,2827,1997,3750,2911,1235
C4_02790C,635,790,803,465,481,1014,625,180
C4_02800W,467,563,836,320,450,484,402,486
C4_02820W,0,4,0,2,11,19,0,0
C4_02830C,789,914,927,558,717,952,982,449
C4_02840C,191,327,398,302,132,167,208,35
C4_02850W,1739,1745,1698,1213,1150,1431,1202,784
C4_02860W,1705,1754,2190,2010,1130,1265,1343,3121
C4_02870C,3241,5106,5555,3464,6708,8559,8246,8115
C4_02880C,456,511,639,519,600,559,565,144
C4_02890C,2683,4412,6389,3953,2826,3409,4109,3142
C4_02900C,13768,21932,19216,12585,2268,2007,1519,3180
C4_02910W,7,0,0,16,10,10,0,0
C4_02920W,2052,1758,1715,1901,989,850,821,404
C4_02930W,544,398,337,563,145,40,1,18
C4_02940W,15745,13681,15488,15005,6121,8185,6671,12897
C4_02950C,257,514,597,406,306,588,267,67
C4_02960W,3573,3915,4081,2717,1806,2967,2656,2171
C4_02970C,4712,6170,6862,4252,3387,4992,4203,4249
C4_02980W,2444,2994,3050,2218,3219,4928,5054,3982
C4_02990C,1315,1795,2128,1500,865,1607,683,2446
C4_03000C,509,427,242,362,448,480,317,1103
C4_03020W,2574,3159,2818,2827,1360,1981,1805,2010
C4_03030C,1109,1709,1902,1162,1514,2380,1867,2615
C4_03040W,225,428,366,145,289,421,635,357
C4_03050C,5756,8891,8028,6408,4581,9504,6568,19897
C4_03070W,2532,7649,4638,2645,1113,2989,2306,4392
C4_03080W,1059,2305,2708,827,863,1631,1486,1577
C4_03090W,1432,1628,1941,1272,1387,1526,1539,4248
C4_03100W,74,82,35,69,176,202,209,33
C4_03110W,3890,6641,5611,3419,2203,2723,1718,3412
C4_03120C,1331,1663,1476,1010,1171,1480,995,2887
C4_03130W,1594,2376,2206,1514,1393,1958,1338,3649
C4_03140C,314,462,576,290,542,468,335,78
C4_03150W,1110,1541,1729,1165,822,1136,758,777
C4_03160C,119,149,90,144,126,177,206,0
C4_03170W,291,300,315,186,185,368,376,0
C4_03180W,15809,22649,23501,17670,6449,10253,8411,8659
C4_03190W,379,399,378,207,305,453,413,111
C4_03200C,935,841,607,873,579,821,596,9
C4_03230C,0,4,0,3,1,2,0,0
C4_03250C,0,4,0,0,0,0,0,1
C4_03270W,519,677,579,462,383,551,531,1
C4_03280W,6615,6531,7122,9396,3967,4044,3052,5942
C4_03290W,2453,3609,3830,2374,2607,3641,2501,4950
C4_03300C,72,301,292,136,319,667,405,1038
C4_03310C,10,41,43,57,0,12,0,1
C4_03320W,1110,1143,1599,1060,477,626,563,692
C4_03330W,674,1268,1595,999,680,407,565,552
C4_03340C,102,143,73,306,86,74,97,9
C4_03350C,156,168,58,108,36,129,22,7
C4_03360C,2293,3124,3326,3372,5126,4643,4262,7579
C4_03370C,127,428,534,379,721,1170,844,894
C4_03380C,284,385,147,269,482,611,509,1042
C4_03390W,2767,2579,2634,1880,1570,1788,1337,2746
C4_03400W,200,286,486,172,227,133,172,456
C4_03410W,788,1173,1616,1139,833,1606,1550,432
C4_03420C,34,103,157,86,98,113,138,0
C4_03430W,1344,2140,1795,2905,408,482,480,2128
C4_03440C,1062,1225,1330,671,738,924,954,1089
C4_03450C,974,1154,1420,958,733,1006,850,1074
C4_03460C,61,113,191,168,69,77,68,352
C4_03470C,329,49,52,46,750,40,44,0
C4_03480C,0,0,0,3,0,0,0,0
C4_03490C,6,31,0,13,57,2,9,0
C4_03500C,2,7,4,44,2,10,28,0
C4_03510C,1,25,16,53,0,24,2,1
C4_03520C,198,78,12,61,10,24,8,423
C4_03530W,361,670,563,444,321,315,473,402
C4_03540C,455,542,573,619,267,306,402,893
C4_03550W,789,1279,1453,662,740,1050,774,1418
C4_03560W,1723,1916,2009,1441,1225,1300,1398,1237
C4_03570W,486,328,357,156,576,158,65,5
C4_03580W,180,194,215,138,575,488,359,0
C4_03590C,2628,3567,4189,2972,2236,2026,1907,3890
C4_03600C,581,689,584,669,654,723,476,543
C4_03620C,343,415,266,265,236,328,416,252
C4_03670W,679,1093,978,908,506,845,577,1182
C4_03680C,511,766,552,691,393,561,535,554
C4_03690C,162,150,180,101,164,162,52,437
C4_03700W,1194,1974,1893,873,1948,2089,1307,2143
C4_03710C,265,341,298,315,162,131,45,35
C4_03720C,589,699,543,924,1102,1467,1406,2359
C4_03730C,323,511,381,457,599,619,480,1260
C4_03740W,279,541,578,470,534,567,447,1051
C4_03750C,358,484,613,351,353,441,410,172
C4_03760W,1,35,71,0,66,0,20,0
C4_03770W,241,538,616,380,211,379,387,1
C4_03780C,660,1140,1476,1114,810,1096,871,882
C4_03790W,1569,2346,3194,2169,1854,2632,2857,3525
C4_03800C,1254,1747,1929,1356,1071,2085,1565,1602
C4_03810W,831,997,1039,865,409,461,425,319
C4_03820C,200,469,554,436,468,360,490,280
C4_03830W,637,1152,1638,544,1274,1350,1731,1011
C4_03840C,542,536,583,447,386,666,348,971
C4_03850W,1132,1464,1657,1022,979,1394,1217,1548
C4_03860C,389,514,370,421,238,312,279,384
C4_03870C,139,311,180,172,165,82,159,62
C4_03880W,339,437,363,466,146,232,86,5
C4_03890W,2905,3181,2852,4473,436,340,365,905
C4_03900C,470,781,1003,512,511,704,545,1026
C4_03910W,534,641,512,984,385,311,308,344
C4_03920W,506,899,1071,607,887,765,470,929
C4_03930C,134,408,585,115,302,481,508,1
C4_03940C,11507,22282,20411,12959,12962,22467,18148,18985
C4_03950C,21,52,14,43,79,100,69,339
C4_03960W,804,2234,2168,1358,2744,4014,2532,3421
