Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4
C1_05020C,825,977,793,613,529,847,968,206
C1_05030C,188,348,389,165,167,439,346,371
C1_05050C,1412,1677,1915,1465,1524,1743,1879,760
C1_05060W,232,369,404,159,204,397,500,1
C1_05070C,1122,1501,1580,841,902,1154,653,1087
C1_05080W,268,240,196,210,96,65,72,31
C1_05090W,787,755,949,602,576,818,652,40
C1_05100W,335,275,416,210,194,131,238,6
C1_05110C,2882,4636,5416,3648,7934,10489,10999,13663
C1_05120W,822,799,1001,523,603,596,400,1056
C1_05130W,0,11,0,2,1,11,0,0
C1_05140W,985,110,29,610,747,157,146,24
C1_05150C,1,14,0,19,15,38,19,0
C1_05160C,3564,1565,1578,7637,2303,940,1005,2989
C1_05170C,4727,4273,4743,4073,2871,2401,2335,3547
C1_05180C,742,1354,1780,1023,588,782,1155,1150
C1_05190C,963,2012,2462,1495,877,1408,1322,985
C1_05200C,347,713,512,362,271,472,317,423
C1_05210C,656,1068,1184,725,939,1521,1749,2497
C1_05220C,98,165,199,84,73,203,106,374
C1_05230W,112,299,386,210,229,359,437,268
C1_05240C,3165,4039,4057,2872,1605,2425,1762,2776
C1_05250W,0,0,0,0,0,0,0,0
C1_05260C,1270,1384,1345,1034,911,1107,1155,1846
C1_05270C,652,993,1052,729,731,1331,1025,1543
C1_05280W,776,942,694,721,490,580,657,727
C1_05290W,5088,8201,9268,6277,8029,13558,11284,11496
C1_05300C,3404,4298,4479,4721,7104,12048,10098,13084
C1_05320C,441,599,624,296,220,467,187,111
C1_05330C,526,634,525,427,308,575,585,1022
C1_05340C,1903,1551,1711,1643,888,893,1043,1331
C1_05350W,207,273,536,300,322,221,167,397
C1_05360C,759,848,1432,691,491,897,956,864
C1_05370C,622,857,925,624,601,771,652,2852
C1_05380C,1282,1959,1848,1383,676,1554,923,1000
C1_05390C,1324,1712,1504,1286,1204,1288,1613,2688
C1_05400C,205,246,259,288,244,233,320,5
C1_05410C,1492,2033,2054,1980,1883,3086,1755,3707
C1_05420W,392,332,448,246,577,419,480,516
C1_05430W,962,1133,1074,828,746,926,632,2591
C1_05440C,1182,1764,852,2045,400,380,242,796
C1_05450W,0,0,0,0,0,0,0,0
C1_05460W,5135,5248,4285,4691,2132,2689,2291,2825
C1_05470W,481,970,842,351,260,719,484,1517
C1_05480C,170,318,295,141,77,131,167,1
C1_05490C,844,1829,2027,1262,906,867,606,147
C1_05500W,682,926,712,484,359,440,355,335
C1_05510C,484,817,760,550,568,828,365,136
C1_05520W,249,417,222,358,328,473,196,1837
C1_05530C,2071,3880,4412,2229,3071,5082,4486,5175
C1_05540C,915,962,934,1028,1203,942,886,1951
C1_05560W,540,588,863,673,417,519,562,23
C1_05600W,373,658,484,553,369,411,257,385
C1_05610W,473,665,476,485,535,499,440,370
C1_05620C,98,225,207,158,145,127,56,0
C1_05630C,5839,9229,10026,6583,8958,11732,13364,12784
C1_05640C,310,498,614,274,217,366,209,274
C1_05650W,174,389,532,259,209,362,252,725
C1_05660C,3827,5943,7235,5411,4734,6123,5398,8149
C1_05670W,2624,3275,3574,2903,2441,3079,3198,3617
C1_05680C,1798,1669,1561,1400,2095,3176,3020,4709
C1_05690C,0,14,0,13,0,22,0,3
C1_05700W,119,147,114,165,56,89,120,1
