Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4,Fluconazole_ribo1,Fluconazole_ribo2,Fluconazole_ribo3,Fluconazole_ribo4,Nodrug_ribo1,Nodrug_ribo2,Nodrug_ribo3,Nodrug_ribo4
C2_05920C,782.1449689,1044.838368,1155.555806,1030.011801,602.6145798,546.8840986,611.1603926,454.8929,1090.419976,1139.997513,1141.269631,926.6875055,826.5373571,455.6573225,1051.699658,553.9705847
C2_05930W,1483.908119,1706.673253,1997.559335,1600.719451,990.4586115,702.4861946,813.15891,1168.114153,1706.624055,1763.252404,2860.449355,1290.649208,897.5685841,342.7173394,1645.714083,618.287541
C2_05940C,76.05268262,103.9103675,123.1105701,107.2473459,79.83851569,65.3934467,68.68378202,64.48412529,58.79635559,34.2671643,44.09005779,69.84348015,26.00902717,20.19771851,4.987622457,20.50556672
C2_05950C,39.2036075,32.14823479,49.32821462,42.27349219,6.095487145,6.301025724,4.375333203,18.26210316,61.15774496,18.61106275,4.544192416,44.05763022,18.70926664,10.17928284,0.385695553,6.25836167
C2_05960C,4.954146247,14.37170738,8.169353412,4.574213177,3.002100926,7.445882464,8.154821751,0,4.11705281,10.27699048,0.183256567,4.096954242,8.374277108,2.979972961,0.609724342,2.355593072
C2_05970C,39.59966118,40.03533533,36.35082769,23.02100107,16.62287984,17.15675902,10.69556721,0,15.60884884,51.99485652,36.11492238,26.85676225,38.24326456,52.22939269,22.13034648,13.65364134
C2_05980C,16.54808664,31.37376312,42.57508822,17.47253722,33.70598755,24.99332062,31.30621431,36.53589939,26.99787297,49.70939226,25.26975984,22.8016331,36.48846057,20.16394677,1.875314326,19.10056082
C2_05990C,8.938416815,12.0039122,15.42694521,16.24592591,5.159542179,2.380445465,0.104858502,0.045294663,0.957895984,9.284127307,11.05681051,13.53231596,8.214298482,4.574607761,0.613769395,2.640677513
C2_06000W,17.31602958,22.34964116,20.00885755,21.6487038,13.3802888,19.67293523,19.90670933,0.030118736,11.41967518,16.55267201,14.97280663,15.16861086,33.77588531,12.76596666,23.11017088,5.769456141
C2_06010W,35.52489819,49.24101944,37.68122825,37.86327554,16.01339801,14.8069507,12.95989468,11.03636111,23.64786132,21.75826585,23.7793709,30.91876726,19.60920852,10.09633281,5.045930928,8.034418248
C2_06020W,66.67786282,104.4329,94.94220734,68.89045816,47.83946949,67.52716322,65.32055634,46.18986703,47.55286308,92.55013719,109.6494818,67.199161,20.29517588,24.11483863,35.08892546,22.11032044
C2_06030W,42.69769512,40.73297022,66.04574013,37.20778689,36.70204373,28.02813312,35.10674002,31.87359083,46.71210409,30.68771545,10.44140868,40.10706742,19.63664449,15.53675985,73.906888,23.08359504
C2_06040C,10.89296235,19.56465555,22.06169328,17.30403853,10.41582577,12.09553731,8.265721091,14.71726054,45.58130932,20.750439,14.74097282,20.81399075,16.43757761,10.95798901,48.38183389,10.3353558
C2_06060C,0,0.213623341,0,0.254421046,0,0,0,0,0,1.590258473,0.631957495,1.513744781,8.5323041,0.880833566,0,0.738475183
C2_06070W,39.77041374,42.22252571,45.5189924,55.26646806,14.09064345,9.919200187,11.09485576,19.81776851,60.53783886,42.01468316,36.14242965,48.059219,28.47587853,7.377322297,1.228625588,7.982985381
C2_06080C,59.64316423,62.16943848,80.85554676,60.68843432,56.68833681,63.16140801,58.45787183,16.31207043,30.27877956,40.43621235,41.05235696,41.95576087,15.0077596,22.73521598,27.86392231,25.71289182
C2_06090W,28.24725673,31.51992781,23.52861423,29.11179381,17.91601191,18.62310686,15.14358651,3.02054302,29.78395263,29.15210095,23.50929909,24.25442873,24.55318377,50.68558442,31.89035381,12.73273392
C2_06100W,190.9544483,199.5201509,194.9941561,163.4323627,202.267169,225.0220369,207.7102808,191.2449568,120.5075243,183.337314,136.0805156,153.9571707,86.1317902,189.7340549,163.7826837,164.2144815
C2_06110W,64.46658201,72.41581898,86.70803948,72.5901852,65.29952718,54.75542509,54.34901846,69.76943153,61.36412655,80.92020073,85.85277814,64.79063267,49.21716989,42.52678166,89.71278573,53.10125054
C2_06120C,22.33134382,18.55840356,11.00669248,19.99394413,22.63383163,5.95547461,8.632732235,35.00354706,0.493395991,9.902925187,6.401876392,16.26395556,2.417740554,7.751335381,0.276624439,9.974567127
C2_06130W,15.83358697,20.70982702,21.99216235,11.67911396,20.83165155,22.89616905,15.55088307,26.92635535,23.73388303,14.95010918,26.16967954,11.5003373,16.64450523,37.70104757,61.71128855,19.20179149
C2_06140C,1.172242886,1.601191525,2.334687138,0.670022275,2.915663937,1.733868272,3.950378314,0,16.27994752,3.037431337,0.384062566,1.226607189,10.63667319,4.520422721,0.669343972,2.094386339
